region_name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
 Denmark,88,88,87,88,88,90,91,92,91,90
 New Zealand,88,88,87,87,89,90,91,91,91,90
 Finland,88,85,86,85,85,89,90,89,89,90
 Singapore,85,85,85,85,84,84,85,84,86,87
 Sweden,85,85,85,85,84,88,89,87,89,88
  Switzerland,84,85,85,85,85,86,86,86,85,86
 Norway,85,84,84,84,85,85,87,86,86,85
 Netherlands,82,82,82,82,82,83,87,83,83,84
 Germany,80,80,80,80,81,81,81,79,78,79
 Luxembourg,81,80,80,81,82,81,81,82,80,80
 Australia,73,77,77,77,77,79,79,80,81,85
 Canada,74,77,77,81,82,82,83,81,81,84
 Hong Kong,76,77,76,76,77,77,75,74,75,77
 United Kingdom,78,77,77,80,82,81,81,78,76,74
 Austria,74,76,77,76,75,75,76,72,69,69
 Belgium,73,76,75,75,75,77,77,76,75,75
 Estonia,74,75,74,73,71,70,70,69,68,64
 Iceland,74,75,78,76,77,78,79,79,78,82
 Japan,73,74,73,73,73,72,75,76,74,74
 Ireland,74,72,74,73,74,73,75,74,72,69
 United Arab Emirates,69,71,71,70,71,66,70,70,69,68
 Uruguay,73,71,71,70,70,71,74,73,73,72
 France,71,69,69,72,70,69,70,69,71,71
 Bhutan,68,68,68,68,67,65,65,65,63,63
 Chile,67,67,67,67,67,66,70,73,71,72
 United States,67,67,69,71,75,74,76,74,73,73
 Seychelles,70,66,66,66,60,60,55,55,54,52
 Taiwan,68,65,65,63,63,61,62,61,61,61
 Barbados,65,64,62,68,68,61,68,74,75,76
 Bahamas,64,63,64,65,65,66,67,71,71,71
 Qatar,63,63,62,62,63,61,71,69,68,68
 South Korea,62,61,59,57,54,53,56,55,55,56
 Portugal,62,61,62,64,63,62,63,63,62,63
 Lithuania,61,60,60,59,59,59,61,58,57,54
 Spain,61,62,62,58,57,58,58,60,59,65
 Botswana,55,60,61,61,61,60,63,63,64,65
 Brunei,60,60,60,63,62,58,60,60,60,55
 Israel,59,60,60,61,62,64,61,60,61,60
 Slovenia,57,60,60,60,61,61,60,58,57,61
 Saint Vincent and the Grenadines,59,59,59,58,58,60,60,67,62,62
 Cape Verde,58,58,58,57,55,59,55,57,58,60
 Costa Rica,58,57,56,56,59,58,55,54,53,54
 Cyprus,53,57,58,59,57,55,61,63,63,66
 Latvia,59,57,56,58,58,57,55,55,53,49
 Georgia,55,56,56,58,56,57,52,52,49,52
 Poland,56,56,58,60,60,62,62,61,60,58
 Saint Lucia,56,56,55,55,55,60,60,60,71,71
 Dominica,55,55,55,57,57,59,57,58,58,58
 Czech Republic,54,54,56,59,57,55,56,51,48,49
 Oman,52,54,52,52,44,45,45,45,47,47
 Rwanda,53,54,53,56,55,54,54,49,53,53
 Grenada,53,53,53,52,52,56,53,53,53,53
 Italy,56,53,53,52,50,47,44,43,43,42
 Malta,54,53,54,54,56,55,56,55,56,57
 Mauritius,54,53,52,51,50,54,53,54,52,57
 Saudi Arabia,53,53,53,49,49,46,52,49,46,44
 Malaysia,48,51,53,47,47,49,50,52,50,49
 Namibia,49,51,52,53,51,52,53,49,48,48
 Greece,49,50,48,45,48,44,46,43,40,36
 Armenia,49,49,42,35,35,33,35,37,36,34
 Jordan,49,49,48,49,48,48,53,49,45,48
 Slovakia,52,49,50,50,50,51,51,50,47,46
 Belarus,41,47,45,44,44,40,32,31,29,31
 Croatia,47,47,47,48,49,49,51,48,48,46
 Cuba,46,47,48,47,47,47,47,46,46,48
 São Tomé and Príncipe,45,47,46,46,46,46,42,42,42,42
 Montenegro,46,45,45,45,46,45,44,42,44,41
 Senegal,43,45,45,45,45,45,44,43,41,36
 Bulgaria,42,44,43,42,43,41,41,43,41,41
 Hungary,43,44,44,46,45,48,51,54,54,55
 Jamaica,44,44,43,44,44,39,41,38,38,38
 Romania,45,44,44,47,48,48,46,43,43,44
 South Africa,44,44,44,43,43,45,44,44,42,43
 Tunisia,44,44,43,43,42,41,38,40,41,41
 Ghana,43,43,41,41,40,43,47,48,46,45
 Maldives,40,43,29,31,33,36,35,35,35,35
 Vanuatu,45,43,46,46,43,45,45,45,45,45
 Argentina,38,42,45,40,39,36,32,34,34,35
 Bahrain,42,42,42,36,36,43,51,49,48,51
 China,45,42,41,39,41,40,37,36,40,39
 Kuwait,43,42,40,41,39,41,49,44,43,44
 Solomon Islands,43,42,42,44,39,42,42,42,42,42
 Benin,42,41,41,40,39,36,37,39,36,36
 Guyana,39,41,40,37,38,34,29,30,27,28
 Lesotho,38,41,40,41,42,39,44,49,49,45
 Burkina Faso,42,40,40,41,42,42,38,38,38,38
 India,40,40,41,41,40,40,38,38,36,36
 Morocco,39,40,41,43,40,37,36,39,37,37
 Timor-Leste,41,40,38,35,38,35,28,28,30,33
 Trinidad and Tobago,41,40,40,41,41,35,39,38,38,39
 Turkey,38,40,39,41,40,41,42,45,50,49
 Colombia,39,39,37,36,37,37,37,37,36,36
 Ecuador,36,39,38,34,32,31,32,33,35,32
 Brazil,38,38,35,35,37,40,38,43,42,43
 Ethiopia,39,38,37,34,35,34,33,33,33,33
 Kazakhstan,37,38,34,31,31,29,28,29,26,28
 Peru,36,38,36,35,37,35,36,38,38,38
 Serbia,38,38,39,39,41,42,40,41,42,39
 Sri Lanka,37,38,38,38,38,36,37,38,37,40
 Suriname,39,38,44,43,41,45,36,36,36,37
 Tanzania,39,38,37,36,36,32,30,31,33,35
 Gambia,37,37,37,37,30,26,28,29,28,34
 Indonesia,38,37,40,38,37,37,36,34,32,32
 Albania,35,36,35,36,38,39,36,33,31,33
 Algeria,33,36,35,35,33,34,36,36,36,34
 Ivory Coast,36,36,35,35,36,34,32,32,27,29
 El Salvador,34,36,34,35,33,36,39,39,38,38
 Kosovo,39,36,36,37,39,36,33,33,33,34
 Thailand,35,36,36,36,37,35,38,38,35,37
 Vietnam,39,36,37,33,35,33,31,31,31,31
 Bosnia and Herzegovina,35,35,36,38,38,39,38,39,42,42
 Mongolia,35,35,35,37,36,38,39,39,38,36
 North Macedonia,39,35,35,37,35,37,42,45,44,43
 Panama,36,35,36,37,37,38,39,37,35,38
 Moldova,36,34,32,33,31,30,33,35,35,36
 Philippines,33,34,34,36,34,35,35,38,36,34
 Egypt,33,33,35,35,32,34,36,37,32,32
 Eswatini,32,33,34,38,39,37,37,43,39,37
   Nepal,33,33,34,31,31,29,27,29,31,27
 Sierra Leone,34,33,33,30,30,30,29,31,30,31
 Ukraine,32,33,30,32,30,29,27,26,25,26
 Zambia,33,33,34,35,37,38,38,38,38,37
 Niger,31,32,32,34,33,35,34,35,34,33
 Bolivia,30,31,31,29,33,33,34,35,34,34
 Kenya,30,31,28,27,28,26,25,25,27,27
 Kyrgyzstan,27,31,30,29,29,28,28,27,24,24
 Mexico,31,31,29,28,29,30,35,35,34,34
 Pakistan,28,31,32,33,32,32,30,29,28,27
 Azerbaijan,30,30,30,25,31,30,29,29,28,27
 Gabon,31,30,31,31,32,35,34,37,34,35
 Malawi,35,30,31,32,31,31,31,33,37,37
 Mali,29,30,29,32,31,32,35,32,28,34
 Russia,29,30,28,28,29,29,29,27,28,28
 Laos,30,29,29,29,29,30,25,25,26,21
 Mauritania,28,29,28,27,28,27,31,30,30,31
 Togo,30,29,29,30,32,32,32,29,29,30
 Dominican Republic,30,28,28,30,29,31,33,32,29,32
 Liberia,29,28,28,32,31,37,37,37,38,41
 Myanmar,28,28,29,29,30,28,22,21,21,15
 Paraguay,30,28,28,29,29,30,27,24,24,25
 Angola,29,27,26,19,19,18,15,19,23,22
 Djibouti,30,27,30,31,31,30,34,34,36,36
 Papua New Guinea,31,27,28,28,29,28,25,25,25,25
 Uzbekistan,28,26,25,23,22,21,19,18,17,17
 Uganda,27,27,28,26,26,25,25,26,26,29
 Cameroon,27,25,25,25,25,26,27,27,25,26
 Bangladesh,26,26,26,26,28,26,25,25,27,26
 Madagascar,26,25,24,25,24,26,28,28,28,32
 Mozambique,26,25,26,23,25,27,31,31,30,31
 Guinea,25,28,29,28,27,27,25,25,24,24
 Guatemala,25,25,26,27,28,28,28,32,29,33
 Iran,25,25,26,28,30,29,27,27,25,28
 Tajikistan,25,25,25,25,21,25,26,23,22,22
 Central African Republic,24,26,25,26,23,20,24,24,25,26
 Lebanon,24,25,28,28,28,28,28,27,28,30
 Nigeria,24,25,26,27,27,28,26,27,25,27
 Honduras,23,24,26,29,29,30,31,29,26,28
 Iraq,23,21,20,18,18,17,16,16,16,18
 Cambodia,23,21,20,20,21,21,21,21,20,22
 Zimbabwe,23,24,24,22,22,22,21,21,21,20
 Eritrea,22,21,23,24,20,18,18,18,20,25
 Republic of the Congo,21,19,19,19,21,20,23,23,22,26
 Guinea-Bissau,21,19,18,28,27,16,17,19,19,25
 Comoros,20,21,25,27,27,24,26,26,28,28
 Haiti,20,18,18,20,22,20,17,19,19,19
 Nicaragua,20,22,22,25,26,26,27,28,28,29
 Sudan,20,16,16,16,16,14,12,11,11,13
 Chad,20,21,20,19,20,20,22,22,19,19
 Burundi,19,19,19,17,22,20,21,20,21,19
 Democratic Republic of the Congo,21,18,18,19,21,21,22,22,22,21
 Turkmenistan,19,19,19,20,19,22,18,17,17,17
 Equatorial Guinea,17,16,16,16,17,17,17,17,19,20
 Libya,17,17,18,17,17,14,16,18,15,21
 Afghanistan,16,19,16,16,15,15,11,12,8,8
 North Korea,16,18,17,14,17,8,8,8,8,8
 Yemen,16,15,15,14,16,14,18,19,18,23
 Venezuela,14,15,16,18,18,17,17,19,20,19
 Somalia,13,12,9,10,9,10,8,8,8,8
 Syria,13,14,13,13,14,13,18,20,17,26
 South Sudan,11,12,12,13,12,11,15,15,14,13